,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
187,2.0,1.0,1.0,1.0,35.596186,139.685969,0.0,0.0,1.0,30
188,4.0,1.0,1.0,60.0,35.710279,139.812248,1.0,0.0,0.0,2500
189,4.0,1.0,1.0,2.0,35.656416,139.696802,1.0,0.0,0.0,78
190,2.0,1.0,1.0,2.0,35.698568,139.71109,1.0,0.0,0.0,70
191,4.0,2.0,1.0,5.0,35.694364,139.694584,1.0,0.0,0.0,72
192,3.0,1.0,1.0,1.0,35.654696,139.73502,1.0,0.0,0.0,155
193,5.0,1.0,1.0,0.0,35.653802,139.701648,1.0,0.0,0.0,95
194,3.0,1.0,1.0,0.0,35.69285,139.708469,0.0,1.0,0.0,40
196,2.0,1.0,1.0,3.0,35.737726,139.663227,1.0,0.0,0.0,52
197,4.0,1.0,1.0,2.0,35.660672,139.707697,1.0,0.0,0.0,82
198,2.0,1.0,1.0,0.0,35.689506,139.693083,1.0,0.0,0.0,70
199,2.0,1.0,1.0,0.0,35.687866,139.696143,1.0,0.0,0.0,70
200,2.0,1.0,1.0,2.0,35.734423,139.728311,0.0,1.0,0.0,42
201,2.0,1.0,1.0,2.0,35.729271,139.731003,1.0,0.0,0.0,59
202,1.0,1.0,1.0,2.0,35.659962,139.736423,0.0,0.0,1.0,47
208,2.0,1.0,1.0,2.0,35.721795,139.733019,0.0,1.0,0.0,41
209,4.0,1.0,1.0,2.0,35.668952,139.732341,1.0,0.0,0.0,67
211,4.0,1.0,1.0,0.0,35.655956,139.697774,1.0,0.0,0.0,95
212,2.0,1.0,1.0,2.0,35.725421,139.73063,0.0,1.0,0.0,41
215,1.0,1.0,1.0,2.0,35.72975,139.729793,0.0,1.0,0.0,50
217,5.0,1.0,1.0,0.0,35.661768,139.698,1.0,0.0,0.0,91
219,4.0,1.0,1.0,3.0,35.657726,139.698294,1.0,0.0,0.0,95
223,2.0,1.0,1.0,2.0,35.726175,139.731752,0.0,1.0,0.0,41
227,2.0,1.0,1.0,2.0,35.734499,139.726747,0.0,1.0,0.0,41
228,2.0,1.0,1.0,2.0,35.73348,139.727429,0.0,1.0,0.0,41
231,2.0,1.0,1.0,2.0,35.732332,139.72866,0.0,1.0,0.0,41
233,2.0,1.0,2.0,2.0,35.729386,139.724889,0.0,1.0,0.0,41
236,1.0,1.0,1.0,2.0,35.730648,139.724828,0.0,1.0,0.0,41
237,2.0,1.0,1.0,2.0,35.729685,139.730259,0.0,1.0,0.0,41
238,1.0,1.0,1.0,2.0,35.733339,139.730783,0.0,1.0,0.0,41
240,5.0,1.0,1.0,1.0,35.661127,139.738943,1.0,0.0,0.0,73
241,3.0,1.0,1.0,1.0,35.687249,139.742637,1.0,0.0,0.0,95
243,2.0,1.0,1.0,1.0,35.715057,139.724891,0.0,1.0,0.0,39
245,4.0,2.0,1.0,2.0,35.644256,139.74019,1.0,0.0,0.0,184
246,3.0,1.0,1.0,1.0,35.66331,139.722048,1.0,0.0,0.0,69
247,2.0,1.0,1.0,3.0,35.722069,139.671523,0.0,1.0,0.0,40
248,2.0,1.0,1.0,1.0,35.714539,139.725116,0.0,1.0,0.0,39
249,5.0,1.0,1.0,2.0,35.714652,139.724732,0.0,1.0,0.0,103
253,2.0,1.0,1.0,1.0,35.695944,139.706174,1.0,0.0,0.0,53
254,5.0,1.0,1.0,2.0,35.654484,139.701859,1.0,0.0,0.0,95
255,2.0,1.0,1.0,3.0,35.744546,139.799515,0.0,1.0,0.0,28
256,2.0,1.0,1.0,2.0,35.631726,139.716526,0.0,1.0,0.0,47
257,3.0,1.0,1.0,2.0,35.67533,139.736895,1.0,0.0,0.0,73
258,4.0,2.0,1.0,4.0,35.692941,139.694498,1.0,0.0,0.0,72
259,4.0,1.0,1.0,2.0,35.664167,139.728343,1.0,0.0,0.0,142
260,5.0,1.0,0.0,1.0,35.667884,139.730864,1.0,0.0,0.0,90
261,5.0,1.0,1.0,1.0,35.66322,139.738057,1.0,0.0,0.0,105
262,4.0,1.0,1.0,1.0,35.668528,139.730365,1.0,0.0,0.0,85
263,5.0,2.0,1.0,1.0,35.698834,139.672124,1.0,0.0,0.0,45
264,2.0,1.0,1.0,1.0,35.64465,139.705754,1.0,0.0,0.0,68
265,4.0,1.0,1.0,1.0,35.654388,139.709849,1.0,0.0,0.0,80
267,4.0,1.0,1.0,1.0,35.598282,139.715862,0.0,0.0,1.0,25
268,2.0,0.0,1.0,2.0,35.656501,139.723089,1.0,0.0,0.0,190
269,2.0,1.0,1.0,3.0,35.652247,139.732636,1.0,0.0,0.0,189
270,3.0,1.0,1.0,0.0,35.661064,139.72269,1.0,0.0,0.0,84
271,4.0,1.0,1.0,2.0,35.560228,139.694261,0.0,1.0,0.0,25
272,2.0,1.0,1.0,7.0,35.651567,139.698148,1.0,0.0,0.0,125
274,2.0,1.0,1.0,2.0,35.657981,139.742535,1.0,0.0,0.0,65
275,3.0,1.0,1.0,4.0,35.650801,139.722443,1.0,0.0,0.0,230
276,5.0,1.0,1.0,1.0,35.676833,139.707196,1.0,0.0,0.0,95
277,4.0,1.0,1.0,4.0,35.708502,139.697919,1.0,0.0,0.0,69
280,2.0,1.0,1.0,1.0,35.606816,139.676292,0.0,1.0,0.0,73
281,2.0,1.0,0.0,4.0,35.683073,139.678491,0.0,1.0,0.0,29
282,4.0,1.0,1.0,0.0,35.65714,139.694879,1.0,0.0,0.0,58
283,2.0,1.0,1.0,6.0,35.670575,139.712876,1.0,0.0,0.0,65
284,5.0,2.0,2.0,0.0,35.738502,139.851669,1.0,0.0,0.0,99
285,4.0,1.0,1.0,2.0,35.668485,139.733188,1.0,0.0,0.0,67
286,4.0,1.0,1.0,2.0,35.653659,139.753606,1.0,0.0,0.0,95
287,3.0,1.0,1.0,3.0,35.663961,139.664064,1.0,0.0,0.0,69
288,2.0,1.0,0.5,1.0,35.666528,139.764234,1.0,0.0,0.0,78
289,4.0,2.0,1.0,3.0,35.690944,139.684952,1.0,0.0,0.0,160
290,2.0,1.0,1.0,4.0,35.700994,139.740118,1.0,0.0,0.0,241
291,3.0,0.0,1.0,1.0,35.606684,139.687636,1.0,0.0,0.0,60
292,1.0,1.0,1.0,2.0,35.755591,139.738704,0.0,1.0,0.0,28
293,3.0,1.0,1.0,2.0,35.733524,139.716438,1.0,0.0,0.0,78
295,1.0,1.0,1.0,2.0,35.68175,139.660643,0.0,1.0,0.0,30
298,3.0,1.0,1.0,2.0,35.659965,139.69971,1.0,0.0,0.0,120
299,1.0,1.0,0.0,3.0,35.605682,139.69208,0.0,1.0,0.0,43
302,2.0,1.0,1.0,5.0,35.661495,139.657729,0.0,1.0,0.0,43
304,4.0,1.0,1.0,3.0,35.659063,139.692694,1.0,0.0,0.0,95
305,2.0,1.0,1.0,0.0,35.737671,139.851285,1.0,0.0,0.0,41
306,3.0,1.0,1.0,3.0,35.6838,139.696355,1.0,0.0,0.0,100
309,2.0,1.0,1.0,0.0,35.621978,139.699871,0.0,1.0,0.0,39
310,2.0,1.0,2.0,2.0,35.731122,139.697095,0.0,1.0,0.0,60
311,2.0,1.0,2.0,2.0,35.730879,139.707018,0.0,1.0,0.0,70
312,3.0,0.0,1.0,3.0,35.646002,139.696703,1.0,0.0,0.0,129
313,2.0,1.0,2.0,3.0,35.703845,139.698331,0.0,1.0,0.0,65
314,2.0,0.0,1.0,3.0,35.645203,139.72414,1.0,0.0,0.0,69
315,4.0,1.0,1.0,3.0,35.677648,139.69059,1.0,0.0,0.0,110
316,3.0,1.0,1.0,31.0,35.629886,139.720879,0.0,1.0,0.0,1800
317,2.0,0.0,1.0,2.0,35.702547,139.644888,1.0,0.0,0.0,55
318,2.0,1.0,1.5,2.0,35.637571,139.75133,0.0,1.0,0.0,78
319,3.0,1.0,1.0,1.0,35.615975,139.697173,0.0,1.0,0.0,47
320,4.0,1.0,1.0,3.0,35.70265,139.694621,1.0,0.0,0.0,70
321,5.0,1.0,1.5,0.0,35.736263,139.85024,1.0,0.0,0.0,95
322,4.0,1.0,1.0,2.0,35.656612,139.752887,1.0,0.0,0.0,110
323,1.0,1.0,1.0,2.0,35.659505,139.622612,0.0,1.0,0.0,86
324,4.0,1.0,1.0,2.0,35.679899,139.69734,0.0,1.0,0.0,69
325,2.0,1.0,1.0,2.0,35.621837,139.6951,0.0,1.0,0.0,40
326,1.0,1.0,1.0,7.0,35.700394,139.647111,0.0,1.0,0.0,36
328,3.0,1.0,1.0,2.0,35.650482,139.745496,1.0,0.0,0.0,103
329,3.0,1.0,1.0,1.0,35.659537,139.776592,0.0,1.0,0.0,68
330,5.0,3.0,1.0,5.0,35.706274,139.730555,1.0,0.0,0.0,180
331,2.0,1.0,1.0,1.0,35.666232,139.664603,0.0,1.0,0.0,47
333,2.0,1.0,1.0,3.0,35.730211,139.707328,1.0,0.0,0.0,79
334,2.0,1.0,1.0,3.0,35.706396,139.648762,1.0,0.0,0.0,64
336,4.0,2.0,1.0,2.0,35.668092,139.706204,1.0,0.0,0.0,64
337,2.0,1.0,1.0,1.0,35.671364,139.711525,1.0,0.0,0.0,95
343,3.0,2.0,1.0,6.0,35.649063,139.719558,1.0,0.0,0.0,95
344,3.0,1.0,1.0,2.0,35.696197,139.706694,1.0,0.0,0.0,68
346,2.0,1.0,1.5,2.0,35.636626,139.750937,0.0,1.0,0.0,78
