,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
260612,2016-08-07,Austria,48.21289499632798,16.422611582053708,2.0,1.0,1.0,2.0,25.0,0.0,1.0,25.0,4.0,60.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
260613,2012-06-15,Austria,48.21899009871816,16.377939458270955,6.0,1.0,1.0,1.0,95.0,60.0,2.0,25.0,2.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
260615,2015-09-27,Austria,48.22015692383306,16.406181146743165,4.0,0.5,1.0,2.0,60.0,30.0,1.0,0.0,1.0,1125.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9
260616,2014-05-16,Austria,48.21811166077193,16.387390105428793,2.0,1.5,1.0,1.0,45.0,15.0,1.0,0.0,2.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
260617,2015-06-09,Austria,48.22335241358986,16.4060936708073,2.0,1.0,0.0,1.0,39.0,30.0,1.0,0.0,1.0,1125.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6
260619,2015-05-07,Austria,48.21917729764899,16.400716607847613,3.0,1.0,0.0,3.0,57.0,40.0,2.0,15.0,2.0,1125.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
260620,2015-03-25,Austria,48.22180235724338,16.397056922149797,2.0,1.0,1.0,1.0,40.0,17.0,1.0,20.0,2.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3
260621,2012-02-23,Austria,48.21596360986306,16.388546594568876,2.0,1.0,1.0,1.0,45.0,36.0,1.0,0.0,3.0,21.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
260622,2015-02-20,Austria,48.22006036926397,16.383715809576895,2.0,1.5,0.0,1.0,65.0,0.0,1.0,0.0,4.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2
260623,2015-09-21,Austria,48.21514485722864,16.384693291599923,2.0,1.0,1.0,1.0,30.0,5.0,2.0,0.0,1.0,1125.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
260624,2014-11-29,Austria,48.22249780280454,16.398490081527115,4.0,1.0,1.0,1.0,70.0,30.0,2.0,10.0,3.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11
260625,2015-04-12,Austria,48.21767752074182,16.390900830072663,6.0,1.0,2.0,4.0,99.0,40.0,3.0,15.0,2.0,90.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
260626,2014-11-30,Austria,48.212349843083935,16.38132515374314,2.0,2.5,1.0,1.0,28.0,15.0,1.0,15.0,1.0,1125.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
260627,2015-05-27,Austria,48.19827724476983,16.403107376271073,3.0,1.5,1.0,2.0,54.0,20.0,1.0,0.0,3.0,1125.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5
260628,2014-01-13,Austria,48.1958260877831,16.411101236120064,3.0,1.0,1.0,1.0,54.0,0.0,2.0,10.0,7.0,300.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
260629,2014-01-09,Austria,48.20109254121266,16.395872176204954,3.0,1.5,1.0,1.0,49.0,30.0,1.0,15.0,2.0,1125.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
260632,2016-10-01,Austria,48.20087749014759,16.386835464851586,2.0,1.0,1.0,3.0,70.0,15.0,1.0,0.0,1.0,1125.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
260633,2017-04-18,Austria,48.20350859163759,16.38522606195851,2.0,1.0,1.0,1.0,55.0,0.0,1.0,0.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4
260634,2014-04-02,Austria,48.198252370632666,16.379696264753147,4.0,1.5,1.0,2.0,99.0,30.0,2.0,19.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
260635,2016-06-23,Austria,48.193612526311945,16.409215456084727,1.0,2.0,1.0,1.0,15.0,8.0,1.0,0.0,1.0,1125.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
260636,2015-01-24,Austria,48.20416623346013,16.395169818372178,2.0,1.0,1.0,1.0,59.0,10.0,1.0,0.0,2.0,1125.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
260637,2016-02-21,Austria,48.19031083223528,16.402075339640156,2.0,1.0,1.0,1.0,28.0,5.0,1.0,0.0,1.0,1125.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,2
260638,2011-07-26,Austria,48.197776431354384,16.38024063263006,4.0,1.5,1.0,2.0,110.0,30.0,2.0,15.0,2.0,1125.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
260639,2011-10-02,Austria,48.2083032564557,16.39103903308493,6.0,1.0,1.0,3.0,97.0,35.0,4.0,0.0,2.0,1125.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10
260640,2017-01-18,Austria,48.18868741079672,16.38907693728506,2.0,1.0,1.0,1.0,40.0,5.0,1.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
260641,2014-01-22,Austria,48.19444774957264,16.389640558566906,3.0,1.0,1.0,2.0,35.0,8.0,1.0,8.0,1.0,18.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
260654,2012-12-02,Austria,48.204078200919184,16.386682000955123,4.0,1.0,1.0,1.0,70.0,75.0,2.0,10.0,29.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
260655,2012-10-09,Austria,48.21319461332632,16.374003838799094,4.0,1.0,2.0,3.0,95.0,50.0,2.0,20.0,3.0,30.0,213.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,10
260656,2013-04-11,Austria,48.20364523670938,16.37151729609838,2.0,1.0,1.0,1.0,60.0,120.0,2.0,10.0,7.0,180.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
260657,2014-10-03,Austria,48.21246957796067,16.36803542217779,4.0,1.5,1.0,2.0,100.0,30.0,2.0,10.0,1.0,1125.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
260658,2016-06-28,Austria,48.2091060118205,16.376250525770793,3.0,1.0,1.0,1.0,95.0,29.0,2.0,10.0,2.0,1125.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6
260659,2017-04-08,Austria,48.2159206023502,16.369807013894924,2.0,1.0,1.0,1.0,58.0,0.0,1.0,20.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4
