,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
137,2013-06-02,Denmark,55.68619693813523,12.55334248662188,2.0,1.0,0.0,2.0,649.0,220.0,2.0,0.0,3.0,120.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
139,2014-05-16,Denmark,55.69482240044434,12.54472507699017,2.0,1.0,1.0,1.0,649.0,150.0,2.0,500.0,2.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
140,2016-06-05,Denmark,55.69038419705071,12.557335322003478,2.0,1.0,1.0,1.0,603.0,0.0,1.0,0.0,1.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
141,2016-08-16,Denmark,55.69865203892576,12.555276831630897,5.0,1.0,2.0,2.0,702.0,399.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8
142,2014-09-08,Denmark,55.689112728523455,12.554103204348287,4.0,1.0,2.0,2.0,589.0,200.0,1.0,0.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
143,2013-11-18,Denmark,55.68622264309046,12.550527194560646,4.0,0.5,2.0,2.0,715.0,0.0,4.0,80.0,2.0,1125.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
144,2015-03-30,Denmark,55.69184449010904,12.55573876599002,2.0,1.0,1.0,1.0,901.0,50.0,1.0,0.0,2.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3
146,2016-07-02,Denmark,55.692468270051606,12.552571923341617,3.0,1.0,1.0,2.0,523.0,0.0,1.0,98.0,1.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,7
147,2014-02-25,Denmark,55.697290918314415,12.553727869997,2.0,1.0,1.0,1.0,497.0,100.0,1.0,0.0,1.0,1125.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
149,2016-10-08,Denmark,55.69015035860125,12.563262652153124,5.0,1.0,2.0,2.0,801.0,0.0,1.0,0.0,5.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
150,2012-09-15,Denmark,55.686884889419645,12.547730652820729,3.0,1.0,1.0,2.0,702.0,200.0,2.0,100.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,9
151,2014-05-05,Denmark,55.68958419852107,12.563956243771733,2.0,1.0,1.0,1.0,331.0,50.0,1.0,50.0,1.0,1125.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
153,2012-06-21,Denmark,55.68898884316605,12.541214371581043,3.0,1.0,1.0,1.0,497.0,200.0,1.0,0.0,2.0,90.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
154,2016-07-15,Denmark,55.69821937209542,12.539294472832443,2.0,1.0,1.0,1.0,450.0,50.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
155,2015-06-08,Denmark,55.68775857238137,12.558264098271897,4.0,1.0,2.0,2.0,371.0,0.0,1.0,0.0,21.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
156,2012-07-18,Denmark,55.70148771587728,12.541623095639745,4.0,1.0,2.0,2.0,841.0,150.0,1.0,0.0,7.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
