,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
149,1,1.0,1.0,1.0,37.512785,127.021527,1.0,0.0,0.0,34
150,1,1.0,1.0,1.0,37.513173,127.020331,0.0,1.0,0.0,34
151,1,1.0,1.0,1.0,37.512938,127.021351,1.0,0.0,0.0,37
152,1,1.0,0.0,1.0,37.591178,126.999715,0.0,1.0,0.0,48
154,16,1.0,3.0,1.0,37.535736,126.992732,0.0,0.0,1.0,13
156,2,1.0,1.0,2.0,37.540548,126.988675,0.0,1.0,0.0,35
160,2,1.0,1.0,1.0,37.539598,127.062755,0.0,1.0,0.0,26
161,5,1.0,1.0,1.0,37.563113,126.914194,1.0,0.0,0.0,40
162,8,3.0,1.0,3.0,37.551105,126.904142,1.0,0.0,0.0,108
163,1,1.0,1.0,1.0,37.513883,127.021419,1.0,0.0,0.0,34
164,6,2.0,1.0,2.0,37.536546,126.990563,1.0,0.0,0.0,95
166,3,1.0,1.0,1.0,37.476284,126.995503,0.0,1.0,0.0,36
173,2,1.0,1.0,1.0,37.51333,127.019965,0.0,1.0,0.0,47
174,3,1.0,1.0,4.0,37.506002,127.059786,1.0,0.0,0.0,84
175,1,1.0,1.0,1.0,37.506663,127.039651,0.0,1.0,0.0,30
176,9,2.0,1.0,1.0,37.559825,126.990582,1.0,0.0,0.0,174
179,2,1.0,1.0,1.0,37.512873,127.020159,1.0,0.0,0.0,51
182,2,1.0,1.0,2.0,37.582079,126.985405,0.0,1.0,0.0,62
183,2,1.0,0.0,3.0,37.535737,126.989925,0.0,1.0,0.0,41
186,3,1.0,1.0,2.0,37.535679,126.989738,0.0,1.0,0.0,62
187,2,1.0,1.0,1.0,37.551956,126.928327,0.0,1.0,0.0,61
188,9,2.0,1.0,1.0,37.56197,126.990962,1.0,0.0,0.0,174
189,2,1.0,1.0,1.0,37.513962,127.021641,0.0,1.0,0.0,47
190,2,1.0,2.0,3.0,37.58497,126.98536,0.0,1.0,0.0,46
191,6,1.0,1.0,1.0,37.55414,126.941283,0.0,0.0,1.0,18
192,2,1.0,1.0,2.0,37.558389,126.915624,0.0,1.0,0.0,20
193,15,2.0,1.0,1.0,37.561613,126.991727,1.0,0.0,0.0,130
195,6,1.0,2.0,1.0,37.564624,126.927687,0.0,0.0,1.0,12
196,4,1.0,1.0,3.0,37.49816,127.030392,1.0,0.0,0.0,75
198,2,1.0,1.0,3.0,37.54455,127.12353,0.0,1.0,0.0,50
199,3,1.0,0.0,1.0,37.474193,126.993285,0.0,1.0,0.0,36
200,3,1.0,1.0,2.0,37.550591,126.919679,1.0,0.0,0.0,50
201,2,1.0,1.0,1.0,37.55882,126.986461,0.0,1.0,0.0,52
203,2,1.0,1.0,2.0,37.535984,126.98902,0.0,1.0,0.0,38
204,2,1.0,1.0,1.0,37.560108,126.984774,0.0,1.0,0.0,52
208,1,1.0,2.0,15.0,37.554395,126.919558,0.0,1.0,0.0,20
209,4,1.0,3.0,1.0,37.580573,126.980634,0.0,1.0,0.0,174
210,3,1.0,1.0,1.0,37.535936,126.990399,0.0,0.0,1.0,29
211,3,1.0,1.0,2.0,37.53579,126.990079,1.0,0.0,0.0,77
212,2,1.0,1.0,1.0,37.639941,126.921593,0.0,1.0,0.0,31
215,3,1.0,1.0,1.0,37.558405,126.985436,0.0,1.0,0.0,50
216,3,1.0,1.0,1.0,37.559527,126.985497,0.0,1.0,0.0,50
217,3,1.0,1.0,1.0,37.573462,126.971908,1.0,0.0,0.0,61
218,10,1.0,3.0,1.0,37.534531,126.992086,0.0,0.0,1.0,13
222,2,1.0,3.0,1.0,37.5351,126.992109,0.0,1.0,0.0,48
223,4,1.0,3.0,1.0,37.535708,126.992271,0.0,0.0,1.0,16
224,1,1.0,3.0,1.0,37.535618,126.993611,0.0,1.0,0.0,33
225,14,1.0,8.0,1.0,37.552167,126.927474,0.0,0.0,1.0,24
227,2,1.0,1.0,2.0,37.575878,126.986034,1.0,0.0,0.0,50
228,2,1.0,1.0,2.0,37.575033,126.985142,1.0,0.0,0.0,52
232,1,1.0,1.0,1.0,37.55852,126.929009,0.0,1.0,0.0,46
234,2,1.0,1.0,1.0,37.556284,126.941763,0.0,1.0,0.0,53
235,4,1.0,1.0,1.0,37.55574,126.942785,0.0,0.0,1.0,20
237,2,0.0,1.0,2.0,37.576217,126.997001,1.0,0.0,0.0,119
240,10,4.0,2.0,2.0,37.579081,126.971737,1.0,0.0,0.0,124
241,4,2.0,1.0,1.0,37.534123,127.000733,1.0,0.0,0.0,113
242,2,1.0,1.0,1.0,37.558782,126.929059,0.0,1.0,0.0,58
245,2,1.0,1.0,0.0,37.519271,127.026313,0.0,1.0,0.0,57
246,16,1.0,1.0,1.0,37.555937,126.928754,0.0,0.0,1.0,13
250,2,1.0,1.0,1.0,37.559618,126.923135,0.0,1.0,0.0,53
251,2,1.0,1.0,1.0,37.561567,126.923436,1.0,0.0,0.0,53
252,2,1.0,1.0,1.0,37.560174,126.923567,1.0,0.0,0.0,53
254,2,1.0,1.0,1.0,37.560258,126.923728,1.0,0.0,0.0,53
255,4,1.0,1.0,1.0,37.565486,127.027844,1.0,0.0,0.0,57
256,4,1.0,1.0,1.0,37.517994,127.019493,1.0,0.0,0.0,59
257,2,1.0,1.0,5.0,37.556954,126.910573,1.0,0.0,0.0,40
